Open,High,Low,Close,Volume,
1.08761,1.09421,1.08336,1.08630,196503,
1.08631,1.09840,1.08534,1.09141,257322,
1.09210,1.09270,1.08677,1.08914,121062,
1.08913,1.09367,1.08576,1.09054,144359,
1.09052,1.09737,1.08750,1.08881,198183,
1.08879,1.09187,1.07753,1.08710,251207,
1.08708,1.08744,1.07880,1.07976,166366,
1.07922,1.08558,1.07880,1.08483,127987,
1.08484,1.08734,1.08176,1.08687,131435,
1.08692,1.09152,1.08496,1.08911,170511,
1.08916,1.09666,1.08686,1.09394,155439,
1.09413,1.09475,1.08088,1.08313,216342,
1.08315,1.09117,1.08138,1.08869,129449,
1.08866,1.09388,1.08840,1.09181,129077,
1.09180,1.11445,1.09026,1.11053,232227,
1.11054,1.12353,1.10685,1.12068,254517,
1.12067,1.12438,1.11077,1.11549,238839,
1.11416,1.12148,1.10854,1.11930,213198,
1.11918,1.13369,1.11611,1.12923,307568,
1.12920,1.13104,1.11625,1.12903,314591,
1.12904,1.13754,1.12729,1.13223,406816,
1.13222,1.13327,1.12129,1.12492,243023,
1.12357,1.12501,1.11269,1.11528,167696,
1.11527,1.11921,1.11233,1.11417,178507,
1.11415,1.11783,1.11046,1.11269,177985,
1.11273,1.11486,1.10698,1.11055,171554,
1.11057,1.11382,1.10655,1.11304,164038,
1.11114,1.11237,1.10020,1.10273,94117,
1.10288,1.10517,1.09891,1.10188,101237,
1.10186,1.10453,1.09561,1.10109,123362,
1.10131,1.10487,1.09856,1.10167,99700,
1.10159,1.10672,1.09107,1.09284,100809,
1.09150,1.09614,1.08580,1.08717,98305,
1.08716,1.08924,1.08331,1.08667,103053,
1.08664,1.08800,1.08245,1.08671,88774,
1.08668,1.09716,1.08524,1.09552,89087,
1.09545,1.10423,1.09038,1.10045,120037,
1.09893,1.10252,1.09395,1.10135,62171,
1.10131,1.10567,1.09925,1.10092,73346,
1.10093,1.10338,1.09449,1.09950,66436,
1.09958,1.12246,1.08261,1.11874,171895,
1.11880,1.12163,1.10823,1.11507,121108,
1.11371,1.11754,1.10767,1.11005,87110,
1.11015,1.11236,1.10706,1.11081,78744,
1.11082,1.12411,1.10567,1.12234,94846,
1.12229,1.13419,1.12038,1.13176,122344,
1.13173,1.13364,1.12549,1.12750,86293,
1.12618,1.12837,1.12332,1.12402,45710,
1.12404,1.12588,1.11874,1.12158,57847,
1.12163,1.12225,1.11584,1.11802,44244,
1.11813,1.11866,1.11430,1.11738,41937,
1.11741,1.11806,1.11528,1.11663,14038,
1.11638,1.12187,1.11519,1.11957,21130,
1.11949,1.13022,1.11690,1.12890,56977,
1.12892,1.13646,1.12826,1.13373,63877,
1.13383,1.14106,1.13095,1.13790,64095,
1.13791,1.14367,1.13336,1.13918,72661,
1.13998,1.14116,1.13563,1.13890,51633,
1.13888,1.14041,1.13348,1.13834,59314,
1.13842,1.14306,1.13257,1.13981,65787,
1.13980,1.14531,1.13371,1.13770,66786,
1.13767,1.14182,1.13485,1.13950,43917,
1.14154,1.14463,1.13712,1.14060,45565,
1.14054,1.14637,1.13444,1.13844,56668,
1.13847,1.13901,1.12672,1.12729,57766,
1.12726,1.12937,1.12328,1.12668,53163,
1.12662,1.13159,1.12448,1.12833,43793,
1.13016,1.13310,1.12726,1.13118,42517,
1.13116,1.13835,1.13024,1.13569,41631,
1.13562,1.13870,1.12893,1.12952,45986,
1.12951,1.13979,1.12685,1.12863,63612,
1.12866,1.13075,1.12171,1.12247,54792,
1.12173,1.12771,1.12173,1.12670,48369,
1.12648,1.13384,1.12553,1.12972,50253,
1.12970,1.13606,1.12708,1.13236,58355,
1.13220,1.13668,1.12950,1.13516,68188,
1.13503,1.14582,1.13476,1.14506,64830,
1.14599,1.15350,1.14471,1.15334,53828,
1.15330,1.16153,1.14943,1.14957,63594,
1.14951,1.15286,1.14652,1.14865,62131,
1.14856,1.14927,1.13851,1.14045,51976,
1.14046,1.14772,1.13844,1.13997,57527,
1.13940,1.14175,1.13727,1.13802,49002,
1.13811,1.14086,1.13573,1.13709,48444,
1.13706,1.14454,1.13677,1.14256,43851,
1.14251,1.14282,1.13694,1.13753,44496,
1.13760,1.13787,1.12819,1.13047,54501,
1.13113,1.13412,1.13012,1.13191,47847,
1.13202,1.13478,1.13010,1.13129,55233,
1.13130,1.13152,1.12132,1.12147,67606,
1.12153,1.12289,1.11789,1.12015,68130,
1.12013,1.12364,1.11952,1.12219,51034,
1.12164,1.12420,1.11864,1.12191,53173,
1.12194,1.12259,1.11313,1.11399,60222,
1.11406,1.11664,1.11284,1.11545,54739,
1.11546,1.12157,1.11491,1.11927,59412,
1.11928,1.11997,1.11099,1.11118,60741,
1.11113,1.11436,1.10968,1.11370,39020,
1.11372,1.11723,1.11211,1.11308,67061,
1.11306,1.11931,1.11131,1.11873,74951,
1.11878,1.12188,1.11443,1.11497,73705,
1.11504,1.13718,1.11351,1.13654,89662,
1.13549,1.13917,1.13254,1.13536,80009,
1.13540,1.13794,1.13376,1.13579,61736,
1.13586,1.14095,1.13543,1.13943,59649,
1.13930,1.14144,1.13045,1.13149,64220,
1.13154,1.13204,1.12442,1.12504,72322,
1.12498,1.13019,1.12310,1.12912,77005,
1.12911,1.12973,1.11879,1.12071,73692,
1.12074,1.12973,1.11887,1.12588,73713,
1.12587,1.12940,1.11299,1.12239,98508,
1.12237,1.12953,1.12215,1.12742,75633,
1.13330,1.13813,1.13011,1.13124,80273,
1.13128,1.13485,1.12406,1.12410,72818,
1.12412,1.13372,1.12356,1.12959,70078,
1.12962,1.14203,1.12952,1.13838,91857,
1.13834,1.14271,1.09107,1.11014,211296,
1.10207,1.10826,1.09696,1.10236,130563,
1.10231,1.11098,1.10093,1.10638,86979,
1.10641,1.11293,1.10482,1.11238,89763,
1.11236,1.11535,1.10229,1.11055,104497,
1.11034,1.11683,1.10710,1.11380,75658,
1.11313,1.11585,1.10970,1.11534,45756,
1.11531,1.11847,1.10612,1.10748,68225,
1.10749,1.11105,1.10278,1.10989,85811,
1.10986,1.11062,1.10514,1.10608,68860,
1.10614,1.11194,1.10006,1.10495,71876,
1.10491,1.10735,1.10147,1.10565,68858,
1.10568,1.11251,1.10510,1.10588,74151,
1.10581,1.11187,1.10404,1.10892,69911,
1.10889,1.11636,1.10871,1.11185,79577,
1.11183,1.11488,1.10246,1.10342,77825,
1.10521,1.10831,1.10363,1.10739,62650,
1.10738,1.10793,1.09991,1.10203,60441,
1.10204,1.10292,1.09803,1.10138,54591,
1.10140,1.10594,1.09783,1.10252,68247,
1.10254,1.10399,1.09544,1.09750,67309,
1.09696,1.09977,1.09510,1.09937,48973,
1.09933,1.10289,1.09772,1.09854,56803,
1.09853,1.10638,1.09603,1.10570,69839,
1.10575,1.11186,1.10514,1.10759,65104,
1.10762,1.11973,1.10719,1.11742,82260,
1.11734,1.11830,1.11541,1.11613,54126,
1.11614,1.12326,1.11577,1.12226,61084,
1.12227,1.12262,1.11396,1.11486,51849,
1.11485,1.11554,1.11129,1.11282,56403,
1.11279,1.11602,1.10447,1.10874,51598,
1.10806,1.11059,1.10710,1.10872,40342,
1.10875,1.11221,1.10674,1.11161,42433,
1.11167,1.11894,1.11123,1.11759,50018,
1.11760,1.11910,1.11343,1.11364,46092,
1.11363,1.12203,1.11303,1.11632,49769,
1.11684,1.12026,1.11526,1.11824,38741,
1.11823,1.13203,1.11764,1.12765,66301,
1.12764,1.13142,1.12421,1.12874,61083,
1.12878,1.13633,1.12844,1.13503,67234,
1.13500,1.13570,1.13017,1.13207,57730,
1.13074,1.13255,1.12686,1.13157,56029,
1.13150,1.13506,1.12986,1.13007,50819,
1.13012,1.13069,1.12401,1.12611,53241,
1.12614,1.12954,1.12566,1.12828,42245,
1.12803,1.13380,1.11784,1.11919,71609,
1.11810,1.12057,1.11559,1.11868,53732,
1.11867,1.11902,1.11310,1.11415,51968,
1.11421,1.11645,1.11221,1.11556,56941,
1.11546,1.12042,1.11265,1.11955,57904,
1.11956,1.12499,1.11486,1.11532,69515,
1.11561,1.11805,1.11375,1.11455,40060,
1.11450,1.12613,1.11391,1.12531,58465,
1.12534,1.12702,1.12274,1.12383,58796,
1.12382,1.13261,1.12334,1.12588,70894,
1.12591,1.12839,1.11975,1.12312,63951,
1.12344,1.12675,1.12095,1.12341,74860,
1.12339,1.12563,1.11999,1.12158,68949,
1.12169,1.12681,1.12069,1.12434,61544,
1.12431,1.12781,1.12130,1.12380,67719,
1.12375,1.12441,1.11435,1.11510,60457,
1.11480,1.11916,1.11450,1.11687,50692,
1.11694,1.12079,1.11474,1.11479,57453,
1.11481,1.11940,1.11203,1.11861,86475,
1.11862,1.12561,1.11821,1.12072,63913,
1.12070,1.12396,1.11929,1.12247,59124,
1.12252,1.12814,1.12200,1.12565,55606,
1.12564,1.12607,1.11929,1.12176,55453,
1.12149,1.12387,1.11837,1.12185,58866,
1.12187,1.12516,1.11987,1.12238,64685,
1.12235,1.12513,1.11539,1.12427,83138,
1.12311,1.12451,1.12033,1.12095,49246,
1.12094,1.12377,1.11370,1.12029,72940,
1.12028,1.12323,1.11886,1.12040,61035,
1.12041,1.12115,1.11388,1.11498,60480,
1.11499,1.12039,1.11033,1.12016,95907,
1.11844,1.12025,1.11303,1.11376,42535,
